step,test_acc
400,0.984875801282
800,0.989182692308
1200,0.991586538462
1600,0.993088942308
2000,0.993489583333
2400,0.994190705128
2800,0.994290865385
3200,0.994290865385
3600,0.994491185897
4000,0.994391025641
4400,0.994491185897
4800,0.994991987179
5200,0.994891826923
5600,0.994891826923
6000,0.994290865385
6400,0.995392628205
6800,0.994791666667
7600,0.995192307692
8400,0.994791666667
9200,0.994591346154
10000,0.995192307692
10800,0.995492788462
11200,0.994891826923
11600,0.994891826923
12000,0.995192307692
12400,0.994991987179
12800,0.99469150641
13200,0.994791666667
13600,0.994591346154
14000,0.995192307692
14400,0.995092147436
14800,0.994391025641
15200,0.994991987179
15600,0.995292467949
16000,0.994891826923
16400,0.995092147436
16800,0.994591346154
17200,0.994891826923
17600,0.995192307692
18000,0.994991987179
18400,0.995192307692
18800,0.995492788462
19200,0.99469150641
19600,0.994391025641
20000,0.994891826923
20400,0.994991987179
20800,0.995192307692
21200,0.994991987179
21600,0.99469150641
22000,0.994791666667
22400,0.994791666667
22800,0.994891826923
23200,0.994791666667
23600,0.994791666667
24000,0.994791666667
24400,0.99469150641
24800,0.995192307692
25200,0.995092147436
25600,0.994891826923
26000,0.99469150641
26400,0.99469150641
27200,0.994290865385
28000,0.994791666667
28800,0.994591346154
29600,0.994791666667
30400,0.994391025641
30800,0.994591346154
